"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.876901258,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.619573368,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.380198834,
"OECD","QGDP","TOT","PC_CHGPP","A","2019",1.624185479,
"OECD","QGDP","TOT","PC_CHGPP","A","2020",-4.721562716,
"EST","QGDP","TOT","PC_CHGPP","A","2016",3.187819474,
"EST","QGDP","TOT","PC_CHGPP","A","2017",5.499151758,
"EST","QGDP","TOT","PC_CHGPP","A","2018",4.355465207,
"EST","QGDP","TOT","PC_CHGPP","A","2019",4.996442493,
"EST","QGDP","TOT","PC_CHGPP","A","2020",-2.932246063,
"ESP","QGDP","TOT","PC_CHGPP","A","2016",3.031301,
"ESP","QGDP","TOT","PC_CHGPP","A","2017",2.973641191,
"ESP","QGDP","TOT","PC_CHGPP","A","2018",2.430047145,"P"
"ESP","QGDP","TOT","PC_CHGPP","A","2019",1.950212288,"P"
"ESP","QGDP","TOT","PC_CHGPP","A","2020",-10.83902202,"P"
"DNK","QGDP","TOT","PC_CHGPP","A","2016",3.245949426,
"DNK","QGDP","TOT","PC_CHGPP","A","2017",2.821749347,
"DNK","QGDP","TOT","PC_CHGPP","A","2018",2.175634137,
"DNK","QGDP","TOT","PC_CHGPP","A","2019",2.849512622,
"DNK","QGDP","TOT","PC_CHGPP","A","2020",-2.733279168,
"JPN","QGDP","TOT","PC_CHGPP","A","2016",0.753826606,
"JPN","QGDP","TOT","PC_CHGPP","A","2017",1.675312997,
"JPN","QGDP","TOT","PC_CHGPP","A","2018",0.558851275,
"JPN","QGDP","TOT","PC_CHGPP","A","2019",0.013296037,
"JPN","QGDP","TOT","PC_CHGPP","A","2020",-4.663005602,
"NOR","QGDP","TOT","PC_CHGPP","A","2016",1.071545329,
"NOR","QGDP","TOT","PC_CHGPP","A","2017",2.323265143,
"NOR","QGDP","TOT","PC_CHGPP","A","2018",1.118854417,
"NOR","QGDP","TOT","PC_CHGPP","A","2019",0.851852894,
"NOR","QGDP","TOT","PC_CHGPP","A","2020",-0.765866836,
"BEL","QGDP","TOT","PC_CHGPP","A","2016",1.266855611,
"BEL","QGDP","TOT","PC_CHGPP","A","2017",1.621640836,
"BEL","QGDP","TOT","PC_CHGPP","A","2018",1.787683963,
"BEL","QGDP","TOT","PC_CHGPP","A","2019",1.784695605,
"BEL","QGDP","TOT","PC_CHGPP","A","2020",-6.283889178,"P"
"HUN","QGDP","TOT","PC_CHGPP","A","2016",2.139992849,
"HUN","QGDP","TOT","PC_CHGPP","A","2017",4.316781107,
"HUN","QGDP","TOT","PC_CHGPP","A","2018",5.399712041,
"HUN","QGDP","TOT","PC_CHGPP","A","2019",4.641294526,"P"
"HUN","QGDP","TOT","PC_CHGPP","A","2020",-4.956746202,"P"
"KOR","QGDP","TOT","PC_CHGPP","A","2016",2.946882,
"KOR","QGDP","TOT","PC_CHGPP","A","2017",3.159636,
"KOR","QGDP","TOT","PC_CHGPP","A","2018",2.907398,
"KOR","QGDP","TOT","PC_CHGPP","A","2019",2.03934834,"P"
"KOR","QGDP","TOT","PC_CHGPP","A","2020",-0.957771684,"P"
"AUT","QGDP","TOT","PC_CHGPP","A","2016",1.989436707,
